bolum_id,bolum_adi
11685,ABAZA DİLİ VE EDEBİYATI
21693,ACİL YARDIM VE AFET YÖNETİMİ
11693,ACİL YARDIM VE AFET YÖNETİMİ
11701,ADLİ BİLİMLER
11703,ADLİ BİLİŞİM MÜHENDİSLİĞİ
41703,ADLİ BİLİŞİM MÜHENDİSLİĞİ
11724,AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ
41724,AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ
11746,AİLE VE TÜKETİCİ BİLİMLERİ
11758,AKTÜERYA BİLİMLERİ
11768,ALMAN DİLİ VE EDEBİYATI
120033,ALMANCA MÜTERCİM VE TERCÜMANLIK
11771,ALMANCA ÖĞRETMENLİĞİ
11783,AMERİKAN KÜLTÜRÜ VE EDEBİYATI
11814,ANTRENÖRLÜK EĞİTİMİ
11815,ANTROPOLOJİ
11821,ARAP DİLİ VE EDEBİYATI
120036,ARAPÇA MÜTERCİM VE TERCÜMANLIK
17587,ARAPÇA ÖĞRETMENLİĞİ
11835,ARKEOLOJİ
11836,ARKEOLOJİ VE SANAT TARİHİ
11839,ARNAVUT DİLİ VE EDEBİYATI
11848,ASTRONOMİ VE UZAY BİLİMLERİ
120078,AYAKKABI TASARIMI VE ÜRETİMİ
11888,AZERBAYCAN TÜRKÇESİ VE EDEBİYATI
11892,BAHÇE BİTKİLERİ
11904,BALIKÇILIK TEKNOLOJİSİ MÜHENDİSLİĞİ
11914,BANKACILIK
11918,BANKACILIK VE FİNANS
21921,BANKACILIK VE SİGORTACILIK
11921,BANKACILIK VE SİGORTACILIK
11926,BASIM TEKNOLOJİLERİ
11935,BASIN VE YAYIN
11951,BEDEN EĞİTİMİ VE SPOR ÖĞRETMENLİĞİ
11966,BESLENME VE DİYETETİK
21966,BESLENME VE DİYETETİK
11980,BİLGİ GÜVENLİĞİ TEKNOLOJİSİ
21980,BİLGİ GÜVENLİĞİ TEKNOLOJİSİ
11988,BİLGİ VE BELGE YÖNETİMİ
11995,BİLGİSAYAR BİLİMLERİ
11997,BİLGİSAYAR BİLİMLERİ VE MÜHENDİSLİĞİ
42010,BİLGİSAYAR MÜHENDİSLİĞİ
12010,BİLGİSAYAR MÜHENDİSLİĞİ
12028,BİLGİSAYAR TEKNOLOJİSİ VE BİLİŞİM SİSTEMLERİ
12037,BİLGİSAYAR VE ÖĞRETİM TEKNOLOJİLERİ ÖĞRETMENLİĞİ
12046,BİLİM TARİHİ
12059,BİLİŞİM SİSTEMLERİ MÜHENDİSLİĞİ
42059,BİLİŞİM SİSTEMLERİ MÜHENDİSLİĞİ
22060,BİLİŞİM SİSTEMLERİ VE TEKNOLOJİLERİ
12060,BİLİŞİM SİSTEMLERİ VE TEKNOLOJİLERİ
12079,BİTKİ KORUMA
12085,BİTKİSEL ÜRETİM VE TEKNOLOJİLERİ
12116,BİYOKİMYA
12124,BİYOLOJİ
12126,BİYOLOJİ ÖĞRETMENLİĞİ
12135,BİYOMEDİKAL MÜHENDİSLİĞİ
42135,BİYOMEDİKAL MÜHENDİSLİĞİ
12144,BİYOMÜHENDİSLİK
12148,BİYOSİSTEM MÜHENDİSLİĞİ
12150,BİYOTEKNOLOJİ
12160,BOŞNAK DİLİ VE EDEBİYATI
12171,BULGAR DİLİ VE EDEBİYATI
120039,BULGARCA MÜTERCİM VE TERCÜMANLIK
17232,CEVHER HAZIRLAMA MÜHENDİSLİĞİ
62213,COĞRAFYA
12213,COĞRAFYA
12214,COĞRAFYA ÖĞRETMENLİĞİ
12223,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI
12224,ÇAĞDAŞ YUNAN DİLİ VE EDEBİYATI
12231,ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ
62231,ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ
12246,ÇERKEZ DİLİ VE EDEBİYATI
12247,ÇERKEZ DİLİ VE KÜLTÜRÜ
120377,ÇEVİRİBİLİMİ
12270,ÇEVRE MÜHENDİSLİĞİ
12295,ÇİN DİLİ VE EDEBİYATI
120041,ÇİNCE MÜTERCİM VE TERCÜMANLIK
12302,ÇİZGİ FİLM VE ANİMASYON
12315,ÇOCUK GELİŞİMİ
22315,ÇOCUK GELİŞİMİ
12411,DENİZ ULAŞTIRMA İŞLETME MÜHENDİSLİĞİ
22411,DENİZ ULAŞTIRMA İŞLETME MÜHENDİSLİĞİ
12420,DENİZCİLİK İŞLETMELERİ YÖNETİMİ
12438,DERİ MÜHENDİSLİĞİ
17203,DİJİTAL OYUN TASARIMI
22463,DİL VE KONUŞMA TERAPİSİ
12463,DİL VE KONUŞMA TERAPİSİ
12461,DİLBİLİMİ
12490,DİŞ HEKİMLİĞİ
120919,DOĞA KORUMA VE BİYOÇEŞİTLİLİK YÖNETİMİ
22543,EBELİK
12543,EBELİK
12544,ECZACILIK
17028,EGZERSİZ VE SPOR BİLİMLERİ
12604,EKONOMETRİ
12606,EKONOMİ
12609,EKONOMİ VE FİNANS
12621,EL SANATLARI
42621,EL SANATLARI
