bolum_id,bolum_adi
81686,ACİL DURUM VE AFET YÖNETİMİ
31686,ACİL DURUM VE AFET YÖNETİMİ
320519,AÇIK DENİZ SONDAJ TEKNOLOJİSİ
320521,AÇIK DENİZ TABANI UYGULAMALARI TEKNOLOJİSİ
31734,AĞIZ VE DİŞ SAĞLIĞI
320900,AKILLI ALTYAPILAR TEKNİKERLİĞİ
320888,AKILLI SERA TEKNOLOJİLERİ
320854,AKILLI TARIM VE GIDA YÖNETİMİ
31774,ALTERNATİF ENERJİ KAYNAKLARI TEKNOLOJİSİ
320012,AMBALAJ TASARIMI
31780,AMELİYATHANE HİZMETLERİ
31799,ANESTEZİ
31834,ARICILIK
320729,ARKA-YÜZ YAZILIM GELİŞTİRME
31850,AŞÇILIK
81850,AŞÇILIK
31854,ATÇILIK VE ANTRENÖRLÜĞÜ
31861,AVCILIK VE YABAN HAYATI
31883,AYAKKABI TASARIM VE ÜRETİMİ
31890,BAĞCILIK
320468,BAĞCILIK VE BAĞ ÜRÜNLERİ TEKNOLOJİSİ
31895,BAHÇE TARIMI
31921,BANKACILIK VE SİGORTACILIK
81921,BANKACILIK VE SİGORTACILIK
37225,BASIM VE YAYIM TEKNOLOJİLERİ
320525,BIÇAKÇILIK VE EL ALETLERİ ÜRETİM TEKNOLOJİSİ
32000,BİLGİSAYAR DESTEKLİ TASARIM VE ANİMASYON
32012,BİLGİSAYAR OPERATÖRLÜĞÜ
32020,BİLGİSAYAR PROGRAMCILIĞI
82020,BİLGİSAYAR PROGRAMCILIĞI
32027,BİLGİSAYAR TEKNOLOJİSİ
320018,BİLİŞİM GÜVENLİĞİ TEKNOLOJİSİ
32079,BİTKİ KORUMA
32118,BİYOKİMYA
32133,BİYOMEDİKAL CİHAZ TEKNOLOJİSİ
32163,BOYA TEKNOLOJİSİ
320735,BULUT BİLİŞİM OPERATÖRLÜĞÜ
87228,BÜRO YÖNETİMİ VE YÖNETİCİ ASİSTANLIĞI
37228,BÜRO YÖNETİMİ VE YÖNETİCİ ASİSTANLIĞI
320736,BÜYÜK VERİ ANALİSTLİĞİ
38576,CEZA İNFAZ VE GÜVENLİK HİZMETLERİ
320539,CNC PROGRAMLAMA VE OPERATÖRLÜĞÜ
32210,COĞRAFİ BİLGİ SİSTEMLERİ
82210,COĞRAFİ BİLGİ SİSTEMLERİ
82225,ÇAĞRI MERKEZİ HİZMETLERİ
32225,ÇAĞRI MERKEZİ HİZMETLERİ
32237,ÇAY TARIMI VE İŞLEME TEKNOLOJİSİ
32269,ÇEVRE KORUMA VE KONTROL
32273,ÇEVRE SAĞLIĞI
320903,ÇEVRE SAĞLIĞI VE ÇEVRESEL RİSK YÖNETİMİ TEKNİKERLİĞİ
320899,ÇEVRESEL ÖLÇÜM VE İZLEME SİSTEMLERİ TEKNİKERLİĞİ
32292,ÇİM ALAN TESİSİ VE YÖNETİMİ
39635,ÇİNİ SANATI VE TASARIMI
32315,ÇOCUK GELİŞİMİ
37202,ÇOCUK KORUMA VE BAKIM HİZMETLERİ
320032,ÇOK BOYUTLU MODELLEME VE ANİMASYON
38025,DENİZ BROKERLİĞİ
32410,DENİZ ULAŞTIRMA VE İŞLETME
37239,DENİZ VE LİMAN İŞLETMECİLİĞİ
