program_code,department_name,university_name,faculty_name,is_undergraduate,years,tags,score_type,scholarship_type
103390230,Abaza Dili ve Edebiyatı,DÜZCE ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,True,2024,,SÖZ,Ücretsiz
108690161,Acil Durum ve Afet Yönetimi,PAMUKKALE ÜNİVERSİTESİ,Serinhisar Meslek Yüksekokulu,False,"2022,2023,2024",,TYT,Ücretsiz
104590132,Acil Durum ve Afet Yönetimi,GİRESUN ÜNİVERSİTESİ,Espiye Meslek Yüksekokulu,False,"2022,2023,2024",,TYT,Ücretsiz
103290214,Acil Durum ve Afet Yönetimi,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,Şaphane Meslek Yüksekokulu,False,"2022,2023,2024",,TYT,Ücretsiz
109190059,Acil Durum ve Afet Yönetimi,SİNOP ÜNİVERSİTESİ,Türkeli Meslek Yüksekokulu,False,"2022,2023,2024",,TYT,Ücretsiz
112190144,Acil Durum ve Afet Yönetimi,TRABZON ÜNİVERSİTESİ,Şalpazarı Meslek Yüksekokulu,False,"2022,2023,2024",,TYT,Ücretsiz
110290120,Acil Durum ve Afet Yönetimi,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,Van Güvenlik Meslek Yüksekokulu,False,"2022,2023,2024",,TYT,Ücretsiz
101490698,Acil Durum ve Afet Yönetimi,ATATÜRK ÜNİVERSİTESİ,Açık ve Uzaktan Öğretim Fakültesi,False,"2022,2023,2024",Açıköğretim,TYT,AÖ-Ücretli
207650829,Acil Durum ve Afet Yönetimi,BİRUNİ ÜNİVERSİTESİ,Meslek Yüksekokulu,False,"2022,2023,2024",Burslu,TYT,Burslu
105650969,Acil Durum ve Afet Yönetimi,İSTANBUL ÜNİVERSİTESİ,Açık ve Uzaktan Eğitim Fakültesi,False,"2022,2023,2024",Uzaktan Öğretim,TYT,UÖ-Ücretli
100990026,Acil Durum ve Afet Yönetimi,AMASYA ÜNİVERSİTESİ,Suluova Meslek Yüksekokulu,False,"2022,2023,2024",,TYT,Ücretsiz
107351046,Acil Durum ve Afet Yönetimi,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Altınyayla Mehmet Tuğrul Meslek Yüksekokulu,False,2022,,TYT,Ücretsiz
101150977,Acil Durum ve Afet Yönetimi,ANKARA ÜNİVERSİTESİ,Beypazarı Meslek Yüksekokulu,False,"2022,2023,2024",,TYT,Ücretsiz
107690154,Acil Durum ve Afet Yönetimi,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,Kavaklıdere Şehit Mustafa Alper Meslek Yüksekokulu,False,"2022,2023,2024",,TYT,Ücretsiz
107390189,Acil Durum ve Afet Yönetimi,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Altınyayla Mehmet Tuğrul Güvenlik Hizmetleri Meslek Yüksekokulu,False,"2023,2024",,TYT,Ücretsiz
